experiment,seed,run_idx,success,total_downtime,total_damage,total_defense_cost,total_falsepos_actions,mean_time_to_detect,total_attacker_utility
Solver_Bayesian_Adaptive,12345,82,False,0,0,270.0,0,5.0,9874.81220668025
Solver_Bayesian_Adaptive,12345,83,False,0,0,1005.0,1,7.0,18273.651556733264
Solver_Bayesian_Adaptive,12345,84,False,0,0,165.0,0,3.0,3195.627937501262
Solver_Bayesian_Adaptive,12345,85,False,0,0,165.0,0,3.0,3110.3699374989856
Solver_Bayesian_Adaptive,12345,86,True,50,50,18778.74094105521,3,,18273.651556731762
Solver_Bayesian_Adaptive,12345,87,False,0,0,430.0,0,,19236.67605673287
Solver_Bayesian_Adaptive,12345,88,False,0,0,765.0,1,4.0,6689.481978555682
Solver_Bayesian_Adaptive,12345,89,False,0,0,430.0,0,7.0,18325.322056731544
Solver_Bayesian_Adaptive,12345,90,False,0,0,165.0,0,3.0,3195.6279374992478
Solver_Bayesian_Adaptive,12345,91,False,0,0,245.0,0,4.0,7048.45697855423
Solver_Bayesian_Adaptive,12345,92,False,0,0,185.0,0,3.0,3165.0574375002207
Solver_Bayesian_Adaptive,12345,93,False,0,0,450.0,0,7.0,18685.756806730147
Solver_Bayesian_Adaptive,12345,94,False,0,0,270.0,0,5.0,9841.87792543229
Solver_Bayesian_Adaptive,12345,95,False,0,0,505.0,0,,18273.651556730227
Solver_Bayesian_Adaptive,12345,96,False,0,0,130.0,0,3.0,3359.5503437494813
Solver_Bayesian_Adaptive,12345,97,False,0,0,105.0,0,2.0,1985.931687499292
Solver_Bayesian_Adaptive,12345,98,False,0,0,345.0,0,5.0,9484.460175429667
Solver_Bayesian_Adaptive,12345,99,False,0,0,185.0,0,3.0,3165.0574374993903
Solver_Bayesian_Adaptive,12345,100,True,50,50,17203.74094105521,0,,19236.676056732074
Solver_Bayesian_Adaptive,12345,101,False,0,0,50.0,0,2.0,2536.8509374988043
Solver_Bayesian_Adaptive,12345,102,False,0,0,505.0,0,7.0,18272.285337978778
Solver_Bayesian_Adaptive,12345,103,False,0,0,10.0,0,2.0,2874.072718751591
Solver_Bayesian_Adaptive,12345,104,False,0,0,450.0,0,7.0,18511.819306732225
Solver_Bayesian_Adaptive,12345,105,True,50,50,17778.74094105521,1,,18271.02655673083
Solver_Bayesian_Adaptive,12345,106,False,0,0,185.0,0,3.0,3165.0574374996927
Solver_Bayesian_Adaptive,12345,107,False,0,0,105.0,0,2.0,2123.3794687502336
Solver_Bayesian_Adaptive,12345,108,False,0,0,5.0,0,1.0,1387.600000000625
Solver_Bayesian_Adaptive,12345,109,False,0,0,685.0,1,3.0,2991.1199374989346
Solver_Bayesian_Adaptive,12345,110,True,50,50,17778.74094105521,1,,18273.651556732904
Solver_Bayesian_Adaptive,12345,111,False,0,0,265.0,0,4.0,6689.481978554584
Solver_Bayesian_Adaptive,12345,112,False,0,0,485.0,0,,18632.626556733285
Solver_Bayesian_Adaptive,12345,113,False,0,0,1505.0,2,,18273.65155673295
Solver_Bayesian_Adaptive,12345,114,True,50,50,17278.74094105521,0,,18273.651556730067
Solver_Bayesian_Adaptive,12345,115,False,0,0,105.0,0,2.0,2123.379468750787
Solver_Bayesian_Adaptive,12345,116,False,0,0,80.0,0,1.0,664.4000000003728
Solver_Bayesian_Adaptive,12345,117,True,50,50,17278.74094105521,0,,18273.65155673406
Solver_Bayesian_Adaptive,12345,118,False,0,0,270.0,0,5.0,10447.484675429107
Solver_Bayesian_Adaptive,12345,119,True,50,50,18278.74094105521,2,,18273.651556729958
Solver_Bayesian_Adaptive,12345,120,False,0,0,1450.0,2,,18299.48680672965
Solver_Bayesian_Adaptive,12345,121,False,0,0,845.0,1,5.0,9483.09395667851
Solver_Bayesian_Adaptive,12345,122,False,0,0,185.0,0,3.0,3163.6912187503995
Solver_Bayesian_Adaptive,12345,123,False,0,0,5.0,0,1.0,973.9375000008557
Solver_Bayesian_Adaptive,12345,124,True,50,50,17278.74094105521,0,,18273.65155673085
Solver_Bayesian_Adaptive,12345,125,True,50,50,17778.74094105521,1,,18273.651556730914
Solver_Bayesian_Adaptive,12345,126,False,0,0,1005.0,1,,18273.65155673299
Solver_Bayesian_Adaptive,12345,127,False,0,0,170.0,0,4.0,7100.127478556296
Solver_Bayesian_Adaptive,12345,128,False,0,0,985.0,1,7.0,19215.5760567314
Solver_Bayesian_Adaptive,12345,129,False,0,0,110.0,0,3.0,4128.08193750063
Solver_Bayesian_Adaptive,12345,130,False,0,0,130.0,0,3.0,3190.892687500425
Solver_Bayesian_Adaptive,12345,131,False,0,0,185.0,0,3.0,3165.057437499696
Solver_Bayesian_Adaptive,12345,132,False,0,0,685.0,1,3.0,3165.057437500327
Solver_Bayesian_Adaptive,12345,133,False,0,0,130.0,0,3.0,3190.892687499133
