experiment,run_idx,step_idx,ck_stage,technique_id,technique_name,action_success,detected,detect_prob,detection_delay,impact_minutes,attacker_belief_high_cap,nash_prob_chosen,discounted_payoff_step
Solver_Bayesian_Adaptive,17,0,Reconnaissance,T0887,Wireless Sniffing,True,True,0.4,1,0,0.8181818181818181,0.3333333333333333,1025.9999999995123
Solver_Bayesian_Adaptive,18,0,Reconnaissance,T0888,Remote System Information Discovery,True,False,0.03,0,0,0.11111111111111108,0.3333333333333333,973.9374999992289
Solver_Bayesian_Adaptive,18,1,Weaponization,T0849,Masquerading,True,False,0.005250000000000001,0,0,0.015384615384615373,0.3333333333333333,1147.7911875000752
Solver_Bayesian_Adaptive,18,2,Delivery,T0865,Spearphishing Attachment,True,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.311749999303
Solver_Bayesian_Adaptive,19,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.624999999769
Solver_Bayesian_Adaptive,19,1,Weaponization,T0849,Masquerading,True,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380930341,1096.1206875001742
Solver_Bayesian_Adaptive,19,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.3117500008022
Solver_Bayesian_Adaptive,19,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410547023
Solver_Bayesian_Adaptive,19,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.978196874275
Solver_Bayesian_Adaptive,19,5,Command & Control,T0884,Connection Proxy,False,True,0.11250000000000002,1,0,0.043478260869565216,1.0,4290.252588622862
Solver_Bayesian_Adaptive,20,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.625000000351
Solver_Bayesian_Adaptive,20,1,Weaponization,T0849,Masquerading,False,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380958055,1096.1206875003527
Solver_Bayesian_Adaptive,20,2,Delivery,T0865,Spearphishing Attachment,True,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117499997186
Solver_Bayesian_Adaptive,21,0,Reconnaissance,T0842,Network Sniffing,False,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999996814
Solver_Bayesian_Adaptive,21,1,Weaponization,T0818,Engineering Workstation Compromise,False,False,0.28350000000000003,0,0,0.015384615384615373,0.3333333333333333,1094.754468749091
Solver_Bayesian_Adaptive,21,2,Delivery,T0865,Spearphishing Attachment,True,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117499997604
Solver_Bayesian_Adaptive,22,0,Reconnaissance,T0842,Network Sniffing,False,False,0.005000000000000001,0,0,0.11111111111111108,0.3333333333333333,1049.7250000004115
Solver_Bayesian_Adaptive,22,1,Weaponization,T0849,Masquerading,True,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380934847,1096.1206874998843
Solver_Bayesian_Adaptive,22,2,Delivery,T0865,Spearphishing Attachment,False,False,0.3960000000000001,0,0,0.01,1.0,1040.3117499993944
Solver_Bayesian_Adaptive,22,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.42454105525
Solver_Bayesian_Adaptive,22,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.978196875405
Solver_Bayesian_Adaptive,22,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.25258862363
Solver_Bayesian_Adaptive,22,6,Actions on Objectives,T0882,Theft of Operational Information,True,False,0.17550000000000002,0,50,0.01,1.0,4498.938792678091
Solver_Bayesian_Adaptive,23,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6250000006457
Solver_Bayesian_Adaptive,23,1,Weaponization,T0820,Exploitation for Evasion,True,False,0.0735,0,0,0.015384615384615373,0.3333333333333333,2059.145187499355
Solver_Bayesian_Adaptive,23,2,Delivery,T0865,Spearphishing Attachment,True,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117499997065
Solver_Bayesian_Adaptive,24,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,0.9999999999984914,1028.6249999990446
Solver_Bayesian_Adaptive,24,1,Weaponization,T0818,Engineering Workstation Compromise,True,True,0.28350000000000003,1,0,0.35999999999999993,0.3333333333333333,1094.7544687491054
Solver_Bayesian_Adaptive,25,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.625000000447
Solver_Bayesian_Adaptive,25,1,Weaponization,T0820,Exploitation for Evasion,True,True,0.6615000000000001,1,0,0.35999999999999993,0.3333333333333333,957.3066874991431
Solver_Bayesian_Adaptive,26,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6250000009386
Solver_Bayesian_Adaptive,26,1,Weaponization,T0849,Masquerading,False,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380927798,1096.1206875000842
Solver_Bayesian_Adaptive,26,2,Delivery,T0865,Spearphishing Attachment,False,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117500006006
Solver_Bayesian_Adaptive,27,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999997635
Solver_Bayesian_Adaptive,27,1,Weaponization,T0849,Masquerading,False,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380910905,1096.1206875001956
Solver_Bayesian_Adaptive,27,2,Delivery,T0865,Spearphishing Attachment,True,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117499991733
Solver_Bayesian_Adaptive,28,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,0.9999999999970199,1028.6250000000496
Solver_Bayesian_Adaptive,28,1,Weaponization,T0818,Engineering Workstation Compromise,False,False,0.0315,0,0,0.015384615384615373,0.3333333333333333,1486.4727187492354
Solver_Bayesian_Adaptive,28,2,Delivery,T0865,Spearphishing Attachment,False,False,0.3960000000000001,0,0,0.01,1.0,1040.311750000679
Solver_Bayesian_Adaptive,28,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410548347
